County,Street Address,City,State,Zip
Belmont                 ,"Roughly bounded by Barrister, John, Jefferson, Sycamore, and Bridge Sts.                                                ",Belmont                             ,OH,
Belmont                 ,Township Rd. 649                                                                                                        ,"Blane, Pease Township               ",OH,
Belmont                 ,"US 40 W of St. Clairsville, Richland Township                                                                           ",St. Clairsville                     ,OH,
Belmont                 ,Address Restricted                                                                                                      ,St. Clairsville                     ,OH,
Belmont                 ,Negus Rd.                                                                                                               ,Colerain Township                   ,OH,
Belmont                 ,Scenary Hill                                                                                                            ,Martin's Ferry                      ,OH,
Belmont                 ,898 and 920 National Rd.                                                                                                ,Brookside                           ,OH,
Belmont                 ,61830 Sandy Ridge Rd.                                                                                                   ,Barnesville                         ,OH,
Belmont                 ,W of St. Clairsville on U.S. 40                                                                                         ,St. Clairsville                     ,OH,
Belmont                 ,29th and Belmont Sts.                                                                                                   ,Bellaire                            ,OH,
Belmont                 ,44680 Belmont-Centerville Rd.                                                                                           ,Belmont                             ,OH,
Belmont                 ,329 Bennett St.                                                                                                         ,Bridgeport                          ,OH,
Belmont                 ,"Church, Main, W. Cross, E. Cross, and Middle Cross Sts.                                                                 ",Morristown                          ,OH,
Belmont                 ,Address Restricted                                                                                                      ,St. Clairsville                     ,OH,
Belmont                 ,56244 High Ridge Rd.                                                                                                    ,Bellaire                            ,OH,
Belmont                 ,Main St.                                                                                                                ,Belmont                             ,OH,
Belmont                 ,E. and W. Main St. between Butler and Sugar Sts.                                                                        ,St. Clairsville                     ,OH,
Belmont                 ,Address Restricted                                                                                                      ,Barnesville                         ,OH,
Belmont                 ,3396 Belmont St.                                                                                                        ,Bellaire                            ,OH,
Butler                  ,22 N. College Ave.                                                                                                      ,Oxford                              ,OH,
Butler                  ,404 Ross Ave.                                                                                                           ,Hamilton                            ,OH,
Butler                  ,Wayne-Madison Rd.                                                                                                       ,Woodsdale                           ,OH,
Butler                  ,Wayne-Madison Rd.                                                                                                       ,Woodsdale                           ,OH,
Butler                  ,Kennedy Rd.                                                                                                             ,Woodsdale                           ,OH,
Butler                  ,1816 Wayne-Madison Rd.                                                                                                  ,Woodsdale                           ,OH,
Butler                  ,1856 Wayne-Madison Rd.                                                                                                  ,Trenton                             ,OH,
Butler                  ,2731 Woodsdale Rd.                                                                                                      ,Trenton                             ,OH,
Butler                  ,3046 Pierson Rd.                                                                                                        ,Trenton                             ,OH,
Butler                  ,2070 Woodsdale Rd.                                                                                                      ,Trenton                             ,OH,
Butler                  ,Wayne-Madison and Kennedy Rds.                                                                                          ,Woodsdale                           ,OH,
Butler                  ,"Section 14, Oxford Township                     .                                                                       ",Oxford                              ,OH,
Butler                  ,2019 Stillwell-Beckett Rd.                                                                                              ,Hamilton                            ,OH,
Butler                  ,327 N. 2nd St.                                                                                                          ,Hamilton                            ,OH,
Butler                  ,25 Charles St.                                                                                                          ,Middletown                          ,OH,
Butler                  ,2nd and High Sts.                                                                                                       ,Hamilton                            ,OH,
Butler                  ,Central Ave.                                                                                                            ,Middletown                          ,OH,
Butler                  ,2900 OH 129                                                                                                             ,Millville                           ,OH,
Butler                  ,"Primarily Dayton, High and Campbell Ave. between 6th and 11th Sts.                                                      ",Hamilton                            ,OH,
Butler                  ,Address Restricted                                                                                                      ,Ross                                ,OH,
Butler                  ,2385 Woodsdale Rd.                                                                                                      ,Trenton                             ,OH,
Butler                  ,E of Oxford on U.S. 73                                                                                                  ,Oxford                              ,OH,
Butler                  ,221 High St.                                                                                                            ,Hamilton                            ,OH,
Butler                  ,575 Harrison Ave.                                                                                                       ,Hamilton                            ,OH,
Butler                  ,900 Woodsdale Rd.                                                                                                       ,Trenton                             ,OH,
Butler                  ,Miami University campus                                                                                                 ,Oxford                              ,OH,
Butler                  ,Address Restricted                                                                                                      ,Hamilton                            ,OH,
Butler                  ,5467 Liberty-Fairfield Rd.                                                                                              ,Hamilton                            ,OH,
Butler                  ,Address Restricted                                                                                                      ,Hamilton                            ,OH,
Butler                  ,Address Restricted                                                                                                      ,Hamilton                            ,OH,
Butler                  ,"Roughly bounded by Vine, Dayton, Riverfront Plaza and Martin Luther King, Jr. Blvd.                                     ",Hamilton                            ,OH,
Butler                  ,Address Restricted                                                                                                      ,Middletown                          ,OH,
Butler                  ,1602 Greenwood Ave.                                                                                                     ,Hamilton                            ,OH,
Butler                  ,533 Dayton St.                                                                                                          ,Hamilton                            ,OH,
Butler                  ,"Roughly bounded by Market St., High St., Court St., and Monument Ave., including High--Main St. Bridge                  ",Hamilton                            ,OH,
Butler                  ,Both sides of S. Main St. at jct. with railroad tracks                                                                  ,Excello                             ,OH,
Butler                  ,Miami University campus                                                                                                 ,Oxford                              ,OH,
Butler                  ,1820 Oxford-Reily Rd.                                                                                                   ,Reily                               ,OH,
Butler                  ,"228,232,236 High St.                                                                                                    ",Hamilton                            ,OH,
Butler                  ,216-226 High St.                                                                                                        ,Hamilton                            ,OH,
Butler                  ,Address Restricted                                                                                                      ,Ross                                ,OH,
Butler                  ,1027 Manchester Ave.                                                                                                    ,Middletown                          ,OH,
Butler                  ,US 27                                                                                                                   ,College Corner                      ,OH,
Butler                  ,1320 Four Mile Creek Rd.                                                                                                ,Hamilton                            ,OH,
Butler                  ,5894 Hamilton--Lebanon Rd.                                                                                              ,Middletown                          ,OH,
Butler                  ,5994 Princeton Rd.                                                                                                      ,Hamilton                            ,OH,
Butler                  ,NE of Oxford at 5349 Bonham Rd.                                                                                         ,Oxford                              ,OH,
Butler                  ,2180 Woodsdale Rd.                                                                                                      ,Trenton                             ,OH,
Butler                  ,5506 Kennel Rd.                                                                                                         ,Trenton                             ,OH,
Butler                  ,2251 Wayne-Madison Rd.                                                                                                  ,Trenton                             ,OH,
Butler                  ,120 S. Main St.                                                                                                         ,Oxford                              ,OH,
Butler                  ,319 N. 3rd St.                                                                                                          ,Hamilton                            ,OH,
Butler                  ,S of Oxford at 3884 Wallace Rd.                                                                                         ,Oxford                              ,OH,
Butler                  ,303 Patterson Ave.                                                                                                      ,Oxford                              ,OH,
Butler                  ,216 E. Church St                                                                                                        ,Oxford                              ,OH,
Butler                  ,Address Restricted                                                                                                      ,Jacksonburg                         ,OH,
Butler                  ,401 E. Spring St.                                                                                                       ,Oxford                              ,OH,
Butler                  ,5171--5251 Rialto Rd.                                                                                                   ,West Chester                        ,OH,
Butler                  ,Woodsdale Rd.                                                                                                           ,Woodsdale                           ,OH,
Butler                  ,Ross Rd. between Mack Rd. and Woodridge Blvd.                                                                           ,Fairfield                           ,OH,
Butler                  ,926 Second St.                                                                                                          ,Hamilton                            ,OH,
Butler                  ,High St. and College Ave.                                                                                               ,Oxford                              ,OH,
Butler                  ,S. Elm and W. Spring St.                                                                                                ,Oxford                              ,OH,
Butler                  ,1 mi. N of Oxford off SR 732                                                                                            ,Oxford                              ,OH,
Butler                  ,643 Dayton St.                                                                                                          ,Hamilton                            ,OH,
Butler                  ,Address Restricted                                                                                                      ,Auburn                              ,OH,
Butler                  ,Address Restricted                                                                                                      ,Huntsville                          ,OH,
Butler                  ,Address Restricted                                                                                                      ,Ross                                ,OH,
Butler                  ,"Roughly bounded by B, E, Main and Amberly Dr.                                                                           ",Hamilton                            ,OH,
Butler                  ,Edgewood Dr.                                                                                                            ,Trenton                             ,OH,
Butler                  ,3681 Hamilton-New London rd.                                                                                            ,Shandon                             ,OH,
Butler                  ,3357 Cincinnati-Brookville Rd.                                                                                          ,Ross                                ,OH,
Butler                  ,310 Tallawanda Rd.                                                                                                      ,Oxford                              ,OH,
Butler                  ,S. Main St.                                                                                                             ,Middletown                          ,OH,
Butler                  ,9797 Cincinnati-Columbus Rd.                                                                                            ,Cincinnati                          ,OH,
Butler                  ,224 Dayton St.                                                                                                          ,Hamilton                            ,OH,
Butler                  ,5139 Pleasant Ave.                                                                                                      ,Fairfield                           ,OH,
Butler                  ,3637 Millville-Shandon Rd.                                                                                              ,Shandon                             ,OH,
Butler                  ,300 S. Main St.                                                                                                         ,Middletown                          ,OH,
Butler                  ,Address Restricted                                                                                                      ,Pisgah                              ,OH,
Butler                  ,2975 Oxford-Middletown Rd.                                                                                              ,Oxford                              ,OH,
Butler                  ,3756 Hamilton-New London Rd.                                                                                            ,Shandon                             ,OH,
Butler                  ,8070 Tylersville Rd.                                                                                                    ,West Chester                        ,OH,
Butler                  ,"US 27 and OH 73, Western College, Miami University                                                                      ",Oxford                              ,OH,
Butler                  ,Address Restricted                                                                                                      ,Maud                                ,OH,
Clark                   ,Fountain Ave. and High St.                                                                                              ,Springfield                         ,OH,
Clark                   ,611 S. Fountain Ave.                                                                                                    ,Springfield                         ,OH,
Clark                   ,2665 Old Springfield Rd.                                                                                                ,Springfield                         ,OH,
Clark                   ,810 & 838 E. High St.                                                                                                   ,Springfield                         ,OH,
Clark                   ,5 mi. E of Springfield off OH 4                                                                                         ,Springfield                         ,OH,
Clark                   ,"Roughly bounded by E. High, S. Sycamore, and Walnut Sts.                                                                ",Springfield                         ,OH,
Clark                   ,Address Restricted                                                                                                      ,Enon                                ,OH,
Clark                   ,Clifton Rd.                                                                                                             ,South Charleston                    ,OH,
Clark                   ,W of Springfield off OH 4                                                                                               ,Springfield                         ,OH,
Clark                   ,N of Springfield at 4690 Urbana Rd.                                                                                     ,Springfield                         ,OH,
Clark                   ,NW corner of High and Spring Sts.                                                                                       ,Springfield                         ,OH,
Clark                   ,6--14 E. Main St.                                                                                                       ,Springfield                         ,OH,
Clark                   ,14 E. Main St.                                                                                                          ,Springfield                         ,OH,
Clark                   ,SW of Springfield                                                                                                       ,Springfield                         ,OH,
Clark                   ,125 W. High St.                                                                                                         ,Springfield                         ,OH,
Clark                   ,S. Fountain Ave. between High and Washington Sts.                                                                       ,Springfield                         ,OH,
Clark                   ,Wittenberg Ave. and Ward St.                                                                                            ,Springfield                         ,OH,
Clark                   ,Address Restricted                                                                                                      ,Springfield                         ,OH,
Clark                   ,404 E. McCreight Ave.                                                                                                   ,Springfield                         ,OH,
Clark                   ,Rocky Pt. Rd. approx. 185 ft. W. of Old Mill Rd.                                                                        ,Enon                                ,OH,
Clark                   ,9710 W. National Rd.                                                                                                    ,New Carlisle                        ,OH,
Clark                   ,10516 Marquart Rd.                                                                                                      ,New Carlisle                        ,OH,
Clark                   ,1311 W. Main St.                                                                                                        ,Springfield                         ,OH,
Clark                   ,N of Enon                                                                                                               ,Enon                                ,OH,
Clark                   ,1314-1316 E. High St.                                                                                                   ,Springfield                         ,OH,
Clark                   ,1425 Innisfallen Ave.                                                                                                   ,Springfield                         ,OH,
Clark                   ,Main and Limestone Sts.                                                                                                 ,Springfield                         ,OH,
Clark                   ,OH 70                                                                                                                   ,South Charleston                    ,OH,
Clark                   ,Roughly Fountain Ave. and Limestone St. from Perrin to Monroe Sts.                                                      ,Springfield                         ,OH,
Clark                   ,27 N. Wittenberg Ave.                                                                                                   ,Springfield                         ,OH,
Clark                   ,802 Kenton St.                                                                                                          ,Springfield                         ,OH,
Clark                   ,225 E. High St.                                                                                                         ,Springfield                         ,OH,
Clark                   ,34 W. High St.                                                                                                          ,Springfield                         ,OH,
Clark                   ,714 N. Limestone St.                                                                                                    ,Springfield                         ,OH,
Clark                   ,360 S. Limestone St.                                                                                                    ,Springfield                         ,OH,
Clark                   ,E. High and Spring Sts.                                                                                                 ,Springfield                         ,OH,
Clark                   ,1340 E. High St.                                                                                                        ,Springfield                         ,OH,
Clark                   ,"Roughly bounded by Bill Edwards Dr., N. Fountain, W. Ward & Plum                                                        ",Springfield                         ,OH,
Columbiana              ,"On the OH/PA Border, E of East Liverpool                                                                                ",East Liverpool                      ,OH,
Columbiana              ,43628 OH 517                                                                                                            ,Columbiana                          ,OH,
Columbiana              ,867 E. Forth St.                                                                                                        ,Salem                               ,OH,
Columbiana              ,219 E. 4th St.                                                                                                          ,East Liverpool                      ,OH,
Columbiana              ,2600 St. Clair Ave.                                                                                                     ,East Liverpool                      ,OH,
Columbiana              ,Jct. of Cherry Valley and Butcher Rds.                                                                                  ,Leetonia                            ,OH,
Columbiana              ,3 mi. E of Lisbon off SR 867                                                                                            ,Lisbon                              ,OH,
Columbiana              ,Sixth St.                                                                                                               ,East Liverpool                      ,OH,
Columbiana              ,W of Lisbon on County Home Rd                                                                                           ,Lisbon                              ,OH,
Columbiana              ,Market and E. Sixth Sts.                                                                                                ,East Liverpool                      ,OH,
Columbiana              ,Along E. Fifth St. between Market St. and Broadway                                                                      ,East Liverpool                      ,OH,
Columbiana              ,"Roughly bounded by W. Sixth St., Dresden Ave., Welch Ave., Broadway, Walnut St., E. Fourth St., and East Alley          ",East Liverpool                      ,OH,
Columbiana              ,5th and Broadway Sts.                                                                                                   ,East Liverpool                      ,OH,
Columbiana              ,SE corner of 2nd and Market Sts.                                                                                        ,East Liverpool                      ,OH,
Columbiana              ,High St.                                                                                                                ,East Fairfield                      ,OH,
Columbiana              ,139 W. Fifth St.                                                                                                        ,East Liverpool                      ,OH,
Columbiana              ,1101 and 1109 Eleventh St.                                                                                              ,Wellsville                          ,OH,
Columbiana              ,About 1 mi. S of Clarkson in Beaver Creek State Forest                                                                  ,Clarkson                            ,OH,
Columbiana              ,422 Broadway                                                                                                            ,East Liverpool                      ,OH,
Columbiana              ,251 E. High St.                                                                                                         ,Lisbon                              ,OH,
Columbiana              ,U.S. 30                                                                                                                 ,Hanoverton                          ,OH,
Columbiana              ,3525 Depot Rd.                                                                                                          ,Salem                               ,OH,
Columbiana              ,1100 Franklin Av.                                                                                                       ,Salem                               ,OH,
Columbiana              ,"NW of Lisbon, 32901 OH 172                                                                                              ",Lisbon                              ,OH,
Columbiana              ,200 6th St.                                                                                                             ,East Liverpool                      ,OH,
Columbiana              ,540 Pittsburgh St.                                                                                                      ,Columbiana                          ,OH,
Columbiana              ,414 Broadway                                                                                                            ,East Liverpool                      ,OH,
Columbiana              ,U.S. 30 and OH 45                                                                                                       ,Lisbon                              ,OH,
Columbiana              ,18709 Fife Coal Rd.                                                                                                     ,Wellsville                          ,OH,
Columbiana              ,Homeworth Rd.                                                                                                           ,Homeworth                           ,OH,
Columbiana              ,3.1 mi. W of West Point on OH 518                                                                                       ,West Point                          ,OH,
Columbiana              ,120 W. Sixth St.                                                                                                        ,East Liverpool                      ,OH,
Columbiana              ,E. Fourth St.                                                                                                           ,East Liverpool                      ,OH,
Columbiana              ,Broadway and Fourth St.                                                                                                 ,East Liverpool                      ,OH,
Columbiana              ,Washington and Broadway                                                                                                 ,East Liverpool                      ,OH,
Columbiana              ,"Roughly bounded by Vine Ave., Ohio Ave., E. Pershing St., S. Ellsworth Ave. and Sugar Tree Alley                        ",Salem                               ,OH,
Columbiana              ,244 S. Broadway                                                                                                         ,Salem                               ,OH,
Columbiana              ,110 Walnut St.                                                                                                          ,Leetonia                            ,OH,
Columbiana              ,"S. Lincoln Ave., roughly between Pershing and Summit Sts.                                                               ",Salem                               ,OH,
Columbiana              ,631 N. Ellsworth Ave.                                                                                                   ,Salem                               ,OH,
Columbiana              ,"Eagleton Rd. T-761, 0.1 mi E of C-411                                                                                   ",Salem                               ,OH,
Columbiana              ,305 Walnut St.                                                                                                          ,East Liverpool                      ,OH,
Columbiana              ,115 E. Fourth St.                                                                                                       ,East Liverpool                      ,OH,
Columbiana              ,Washington and Fourth St.                                                                                               ,East Liverpool                      ,OH,
Cuyahoga                ,218 Cleveland St.                                                                                                       ,Chagrin Falls                       ,OH,
Cuyahoga                ,Address Restricted                                                                                                      ,Olmsted Falls                       ,OH,
Cuyahoga                ,Case Western Reserve University campus                                                                                  ,Cleveland                           ,OH,
Cuyahoga                ,Surrey and Derbyshire Rds.                                                                                              ,Cleveland Heights                   ,OH,
Cuyahoga                ,30663 Lake Rd.                                                                                                          ,Bay Village                         ,OH,
Cuyahoga                ,11000 Euclid Ave.                                                                                                       ,Cleveland                           ,OH,
Cuyahoga                ,12510 Mayfield Rd.                                                                                                      ,Cleveland                           ,OH,
Cuyahoga                ,"Roughly bounded by Martin Luther King, Jr. Blvd., Cedar Clen, N. Park Blvd., and along Harcourt Dr.                     ",Cleveland Heights                   ,OH,
Cuyahoga                ,9271 State Rd.                                                                                                          ,North Royalton                      ,OH,
Cuyahoga                ,1588 Ansel Rd to 9501 Wade Park Ave                                                                                     ,Cleveland                           ,OH,
Cuyahoga                ,Archwood Ave. roughly bounded by W. Thirty-first Pl. and W. Thirty-seventh St.                                          ,Cleveland                           ,OH,
Cuyahoga                ,2800 Archwood Ave.                                                                                                      ,Cleveland                           ,OH,
